name,date,max_wind_speed
UNNAMED,8/23/1851,100
UNNAMED,9/12/1852,70
UNNAMED,10/9/1852,90
UNNAMED,9/14/1858,90
UNNAMED,10/17/1859,60
UNNAMED,11/1/1861,70
UNNAMED,10/23/1865,90
UNNAMED,10/6/1867,90
UNNAMED,10/4/1868,70
UNNAMED,10/21/1870,90
UNNAMED,8/17/1871,100
UNNAMED,8/25/1871,100
UNNAMED,9/6/1871,70
UNNAMED,10/5/1871,70
UNNAMED,10/23/1872,70
UNNAMED,9/19/1873,70
UNNAMED,9/23/1873,50
UNNAMED,9/28/1874,80
UNNAMED,9/27/1875,50
UNNAMED,10/20/1876,100
UNNAMED,9/19/1877,70
UNNAMED,10/3/1877,100
UNNAMED,10/27/1877,50
UNNAMED,7/2/1878,40
UNNAMED,9/8/1878,90
UNNAMED,10/11/1878,70
UNNAMED,10/16/1879,50
UNNAMED,10/27/1879,70
UNNAMED,8/29/1880,90
UNNAMED,9/8/1880,70
UNNAMED,9/10/1882,110
UNNAMED,10/11/1882,120
UNNAMED,8/30/1885,50
UNNAMED,9/21/1885,80
UNNAMED,9/28/1885,70
UNNAMED,10/11/1885,60
UNNAMED,6/21/1886,85
UNNAMED,6/30/1886,85
UNNAMED,7/19/1886,75
UNNAMED,7/27/1887,85
UNNAMED,10/30/1887,70
UNNAMED,8/17/1888,110
UNNAMED,9/8/1888,50
UNNAMED,6/17/1889,65
UNNAMED,10/5/1889,50
UNNAMED,8/24/1891,110
UNNAMED,10/7/1891,45
UNNAMED,10/10/1891,55
UNNAMED,6/10/1892,45
UNNAMED,10/25/1892,45
UNNAMED,6/16/1893,65
UNNAMED,9/25/1894,105
UNNAMED,10/9/1894,105
UNNAMED,10/16/1895,35
UNNAMED,7/7/1896,85
UNNAMED,9/29/1896,110
UNNAMED,10/9/1896,85
UNNAMED,9/21/1897,60
UNNAMED,8/2/1898,70
UNNAMED,8/1/1899,85
UNNAMED,10/5/1899,50
UNNAMED,10/12/1900,40
UNNAMED,6/13/1901,35
UNNAMED,8/10/1901,80
UNNAMED,9/17/1901,70
UNNAMED,9/28/1901,45
UNNAMED,6/15/1902,50
UNNAMED,9/12/1903,80
UNNAMED,10/17/1904,70
UNNAMED,6/12/1906,45
UNNAMED,6/17/1906,90
UNNAMED,10/18/1906,105
UNNAMED,6/28/1907,55
UNNAMED,9/19/1907,40
UNNAMED,9/28/1907,45
UNNAMED,6/29/1909,45
UNNAMED,8/29/1909,45
UNNAMED,9/26/1909,50
UNNAMED,10/18/1910,130
UNNAMED,11/1/1911,45
UNNAMED,10/4/1912,80
UNNAMED,9/18/1914,60
UNNAMED,8/1/1915,65
UNNAMED,9/4/1915,85
UNNAMED,5/14/1916,50
UNNAMED,8/25/1916,95
UNNAMED,10/18/1916,95
UNNAMED,9/29/1917,130
UNNAMED,7/4/1919,55
UNNAMED,9/30/1920,75
UNNAMED,10/16/1921,70
UNNAMED,10/26/1921,120
UNNAMED,9/15/1924,75
UNNAMED,10/21/1924,145
UNNAMED,12/1/1925,80
UNNAMED,7/28/1926,120
UNNAMED,9/18/1926,130
UNNAMED,8/8/1928,90
UNNAMED,8/13/1928,80
UNNAMED,9/17/1928,140
UNNAMED,10/1/1929,135
UNNAMED,9/9/1930,135
UNNAMED,8/30/1932,75
UNNAMED,9/15/1932,65
UNNAMED,7/30/1933,80
UNNAMED,9/4/1933,120
UNNAMED,7/23/1934,75
UNNAMED,10/6/1934,50
UNNAMED,9/4/1935,160
UNNAMED,11/5/1935,90
UNNAMED,6/15/1936,40
UNNAMED,7/29/1936,90
UNNAMED,8/22/1936,50
UNNAMED,7/30/1937,60
UNNAMED,8/30/1937,60
UNNAMED,9/20/1937,50
UNNAMED,8/11/1939,65
UNNAMED,10/6/1941,105
UNNAMED,10/20/1941,45
UNNAMED,10/19/1944,125
UNNAMED,6/24/1945,85
UNNAMED,9/5/1945,35
UNNAMED,9/15/1945,115
UNNAMED,10/8/1946,85
UNNAMED,11/1/1946,40
UNNAMED,9/17/1947,125
UNNAMED,9/24/1947,55
UNNAMED,10/7/1947,50
UNNAMED,10/12/1947,90
UNNAMED,7/9/1948,35
UNNAMED,9/21/1948,115
UNNAMED,10/6/1948,110
UNNAMED,8/27/1949,115
EASY,9/5/1950,105
KING,10/18/1950,115
LOVE,10/21/1950,70
HOW,10/2/1951,85
UNNAMED,2/3/1952,60
ALICE,6/6/1953,60
UNNAMED,7/11/1953,45
UNNAMED,8/29/1953,35
UNNAMED,9/20/1953,45
